Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100)
1554,Cynthia Rodriguez,"there, include, arm",0,B.Sc,Google ML,AI Researcher,Reject,65002,4,50
4961,Joel Edwards,"throughout, continue, rich",9,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,55819,2,54
801,Scott Kaiser,"TensorFlow, NLP, Pytorch, Python",8,M.Tech,Google ML,AI Researcher,Hire,53090,6,100
6473,Joanna Ruiz,"quite, policy, bill",15,B.Tech,None,Cybersecurity Analyst,Reject,67603,8,84
3864,Mr. Charles Rhodes,"cup, wide, five",6,PhD,None,AI Researcher,Reject,101521,0,100
3728,Shannon Howell,"try, boy, look",16,PhD,None,AI Researcher,Hire,87319,7,67
673,Brittany Stanley,"challenge, clear, threat",3,PhD,AWS Certified,Software Engineer,Hire,68044,4,52
1972,Mr. Curtis Gonzalez MD,"radio, civil, fear",18,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,62675,5,78
4899,Steven Flynn,"will, write, choice",1,B.Tech,Deep Learning Specialization,AI Researcher,Hire,76067,7,62
409,Elizabeth Thompson,"tough, among, north",13,B.Sc,Google ML,Cybersecurity Analyst,Hire,105998,9,74
7620,Rebecca Davis,"blood, nation, level",10,PhD,Google ML,Cybersecurity Analyst,Hire,115003,5,61
8941,Penny Davis,"group, PM, recognize",3,MBA,Google ML,Software Engineer,Hire,119974,8,82
4701,Kimberly Norman,"suddenly, artist, TV",17,B.Sc,Deep Learning Specialization,Data Scientist,Reject,108635,5,96
2497,Carla Eaton,"first, national, single",17,MBA,None,AI Researcher,Hire,82419,0,88
637,Jennifer Webb,"partner, red, black",11,B.Tech,None,Cybersecurity Analyst,Hire,94976,3,78
3815,Susan Gardner,"every, than, suffer",1,B.Sc,Deep Learning Specialization,AI Researcher,Hire,66825,9,71
100,Sandra Perkins,"SQL, Java, React",6,B.Sc,Google ML,Software Engineer,Hire,67745,3,100
3710,Laura Miller,"let, good, special",20,B.Sc,AWS Certified,Data Scientist,Hire,61013,9,50
459,Amanda Bishop,"possible, often, art",9,B.Tech,Google ML,Data Scientist,Hire,112676,6,93
2121,Laura Williams,"power, clearly, have",2,B.Sc,Google ML,Cybersecurity Analyst,Hire,40241,0,63
2020,Nicole Holden,"tree, threat, space",15,B.Sc,Deep Learning Specialization,Data Scientist,Reject,59534,1,89
7152,Linda Williams,"society, tell, offer",7,B.Tech,Google ML,Cybersecurity Analyst,Reject,41567,6,90
192,Lori Porter,"Linux, Ethical Hacking",1,PhD,AWS Certified,Cybersecurity Analyst,Reject,60465,3,45
473,Tyler Hunt,"compare, morning, similar",5,B.Tech,None,Software Engineer,Reject,68481,8,73
1865,Matthew Bass,"picture, discover, popular",1,PhD,Deep Learning Specialization,Data Scientist,Hire,55457,5,92
315,Christina Wilson,"day, region, reason",3,B.Tech,None,Software Engineer,Hire,40166,2,94
9084,Karen Nguyen,"list, radio, easy",3,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,54445,0,95
6474,Rebecca Bender,"black, miss, yourself",20,MBA,AWS Certified,Software Engineer,Hire,61988,2,66
8075,Alexander Young,"throughout, building, field",1,B.Tech,None,Data Scientist,Reject,72014,7,61
414,Kimberly Garza,"career, itself, company",16,B.Sc,None,Software Engineer,Reject,98735,6,71
4893,Eric Koch,"feel, according, certain",16,MBA,Google ML,Cybersecurity Analyst,Hire,89215,8,70
9332,Zachary Anderson,"operation, good, meet",18,B.Sc,Deep Learning Specialization,AI Researcher,Reject,70858,0,84
9351,Darrell Pollard,"sea, production, man",9,B.Sc,Google ML,AI Researcher,Hire,74238,2,60
8145,Travis Hayes,"edge, city, during",14,PhD,None,Software Engineer,Hire,64026,0,55
4,Edward Ramsey,"go, various, middle",14,MBA,AWS Certified,Cybersecurity Analyst,Reject,98264,5,62
4641,Jennifer Stuart,"into, pass, lot",3,MBA,Google ML,AI Researcher,Hire,116381,2,77
167,Joel Hansen,"Pytorch, NLP, Python",3,M.Tech,AWS Certified,AI Researcher,Hire,76100,6,85
8144,Lori Zimmerman,"least, evening, wonder",19,PhD,AWS Certified,Data Scientist,Reject,50324,4,74
6061,Mary Brown,"plant, tell, majority",20,B.Tech,Deep Learning Specialization,AI Researcher,Reject,118369,4,63
8942,Paul Frank,"director, respond, draw",13,B.Tech,AWS Certified,Data Scientist,Reject,86286,9,51
